,Endo_id,cell_id,cell_name,receptor_id,receptor
1467,ENH00468,ENC00018,bone_marrow,empty0,empty0
1468,ENH00468,ENC00096,osteoclast,empty0,empty0
1469,ENH00468,ENC00231,continuous_vascular_endothelial_cell_of_blood_vessels_and_lymphatics,ENR00865,IGF-1R
1470,ENH00468,ENC00231,continuous_vascular_endothelial_cell_of_blood_vessels_and_lymphatics,ENR00935,insulin receptor
1471,ENH00469,ENC00222,keratinocyte,empty0,empty0
1472,ENH00469,ENC00213,epidermis,empty0,empty0
1473,ENH00469,ENC00112,placenta,empty0,empty0
1474,ENH00469,ENC00125,skin,empty0,empty0
1475,ENH00469,ENC00244,epithelial_cell,empty0,empty0
1476,ENH00473,ENC00356,enteroendocrine_cell_of_gastrointestinal_tract,empty0,empty0
1477,ENH00473,ENC00556,corpus_striatum,empty0,empty0
1478,ENH00473,ENC00161,nucleus_accumbens,empty0,empty0
1479,ENH00474,ENC00357,spinal_cord,empty0,empty0
1480,ENH00474,ENC00361,hypothalamus,empty0,empty0
1481,ENH00474,ENC00183,brain_stem,empty0,empty0
1482,ENH00474,ENC00573,prosencephalon,empty0,empty0
1483,ENH00475,ENC00020,brain,empty0,empty0
1484,ENH00475,ENC00162,cerebrospinal_fluid,empty0,empty0
1485,ENH00476,ENC00112,placenta,empty0,empty0
1486,ENH00476,ENC00074,lung,empty0,empty0
1487,ENH00476,ENC00130,spleen,empty0,empty0
1488,ENH00476,ENC00125,skin,empty0,empty0
1489,ENH00476,ENC00122,skeleton_muscle,empty0,empty0
1490,ENH00476,ENC00128,smooth_muscle,empty0,empty0
1491,ENH00476,ENC00259,cardiac_myocyte,empty0,empty0
1492,ENH00476,ENC00144,thymus,empty0,empty0
1493,ENH00476,ENC00063,kidney,empty0,empty0
1494,ENH00476,ENC00122,skeleton_muscle,empty0,empty0
1495,ENH00476,ENC00128,smooth_muscle,empty0,empty0
1496,ENH00476,ENC00360,neuron,empty0,empty0
1497,ENH00476,ENC00013,platelet,empty0,empty0
1498,ENH00476,ENC00429,sinusoidal_endothelial_cell,empty0,empty0
1499,ENH00476,ENC00262,cerebellum,empty0,empty0
1500,ENH00476,ENC00357,spinal_cord,empty0,empty0
1501,ENH00477,ENC00093,osteoblast,empty0,empty0
1502,ENH00479,ENC00357,spinal_cord,empty0,empty0
1503,ENH00479,ENC00366,alar_column,empty0,empty0
1504,ENH00479,ENC00369,anterior_horn_of_spinal_cord,empty0,empty0
1505,ENH00479,ENC00050,hippocampus,empty0,empty0
1506,ENH00479,ENC00408,medulla_oblongata,empty0,empty0
1507,ENH00479,ENC00262,cerebellum,empty0,empty0
1508,ENH00479,ENC00272,superior_colliculus,empty0,empty0
1509,ENH00480,ENC00372,roof_plate_of_neural_tube,empty0,empty0
1510,ENH00480,ENC00375,ectoderm,empty0,empty0
1511,ENH00480,ENC00020,brain,empty0,empty0
1512,ENH00482,ENC00093,osteoblast,empty0,empty0
1513,ENH00487,ENC00093,osteoblast,empty0,empty0
1514,ENH00490,ENC00093,osteoblast,empty0,empty0
1515,ENH00494,ENC00018,bone_marrow,empty0,empty0
1516,ENH00496,ENC00361,hypothalamus,empty0,empty0
1517,ENH00496,ENC00184,colon,empty0,empty0
1518,ENH00496,ENC00221,large_intestine,empty0,empty0
1519,ENH00496,ENC00074,lung,empty0,empty0
1520,ENH00496,ENC00177,basophil_thyrotroph_cell_of_anterior_pituitary,ENR00079,TRH-R
1521,ENH00497,ENC00074,lung,empty0,empty0
1522,ENH00498,ENC00050,hippocampus,empty0,empty0
1523,ENH00498,ENC00102,pancreas,empty0,empty0
1524,ENH00498,ENC00093,osteoblast,empty0,empty0
1525,ENH00498,ENC00020,brain,empty0,empty0
1526,ENH00498,ENC00112,placenta,empty0,empty0
1527,ENH00499,ENC00048,heart,empty0,empty0
1528,ENH00499,ENC00020,brain,empty0,empty0
1529,ENH00499,ENC00122,skeleton_muscle,empty0,empty0
1530,ENH00499,ENC00074,lung,empty0,empty0
1531,ENH00499,ENC00020,brain,empty0,empty0
1532,ENH00499,ENC00074,lung,empty0,empty0
1533,ENH00499,ENC00048,heart,empty0,empty0
1534,ENH00499,ENC00122,skeleton_muscle,empty0,empty0
1535,ENH00500,ENC00379,propria_mucosa_of_bronchus,empty0,empty0
1536,ENH00500,ENC00048,heart,empty0,empty0
1537,ENH00500,ENC00020,brain,empty0,empty0
1538,ENH00500,ENC00184,colon,empty0,empty0
1539,ENH00500,ENC00221,large_intestine,empty0,empty0
1540,ENH00500,ENC00102,pancreas,empty0,empty0
1541,ENH00500,ENC00127,small_intestine,empty0,empty0
1542,ENH00500,ENC00022,breast,empty0,empty0
1543,ENH00503,ENC00037,cell_of_endometrium_of_uterus,empty0,empty0
1544,ENH00504,ENC00005,adipose_tissue,empty0,empty0
1545,ENH00504,ENC00323,eye,empty0,empty0
1546,ENH00504,ENC00048,heart,empty0,empty0
1547,ENH00504,ENC00020,brain,empty0,empty0
1548,ENH00504,ENC00122,skeleton_muscle,empty0,empty0
1549,ENH00504,ENC00102,pancreas,empty0,empty0
1550,ENH00504,ENC00144,thymus,empty0,empty0
1551,ENH00504,ENC00115,prostate,empty0,empty0
1552,ENH00504,ENC00140,testis,empty0,empty0
1553,ENH00504,ENC00097,ovary,empty0,empty0
1554,ENH00504,ENC00127,small_intestine,empty0,empty0
1555,ENH00504,ENC00184,colon,empty0,empty0
1556,ENH00504,ENC00093,osteoblast,empty0,empty0
1557,ENH00505,ENC00112,placenta,empty0,empty0
1558,ENH00505,ENC00102,pancreas,empty0,empty0
1559,ENH00505,ENC00130,spleen,empty0,empty0
1560,ENH00505,ENC00313,chondroblast,empty0,empty0
1561,ENH00505,ENC00048,heart,empty0,empty0
1562,ENH00505,ENC00020,brain,empty0,empty0
1563,ENH00505,ENC00122,skeleton_muscle,empty0,empty0
1564,ENH00505,ENC00063,kidney,empty0,empty0
1565,ENH00505,ENC00074,lung,empty0,empty0
