,Endo_id,Transported hormone,Target receptor
293,ENT00407,ENH00326,ENR00863
294,ENT00409,ENH00327,ENR01009
295,ENT00410,ENH00326,ENR01011
296,ENT00411,ENH00252,ENR00614
297,ENT00412,ENH00253,ENR00614
298,ENT00413,ENH00315,ENR00930
299,ENT00414,ENH00314,ENR00930
300,ENT00415,ENH00317,ENR00930
301,ENT00417,ENH00317,ENR01000
302,ENT00418,ENH00243,ENR01000
303,ENT00419,ENH00067,ENR00930
304,ENT00420,ENH00442,ENR00930
305,ENT00421,ENH00442,ENR01000
306,ENT00422,ENH00319,ENR00708
307,ENT00424,ENH00443,ENR01000
308,ENT00425,ENH00444,ENR01000
309,ENT00426,ENH00334,ENR00687
310,ENT00428,ENH00451,ENR01013
311,ENT00429,ENH00454,ENR01013
312,ENT00430,ENH00446,ENR01013
313,ENT00431,ENH00453,ENR01013
314,ENT00432,ENH00459,ENR01013
315,ENT00434,ENH00124,ENR00738
316,ENT00435,ENH00483,ENR00648
317,ENT00436,ENH00480,ENR01029
318,ENT00437,ENH00479,ENR01029
319,ENT00438,ENH00477,ENR01029
320,ENT00439,ENH00478,ENR01029
321,ENT00440,ENH00507,ENR00645
322,ENT00441,ENH00507,ENR00646
323,ENT00443,ENH00528,ENR00645
324,ENT00445,ENH00528,ENR00580
325,ENT00446,ENH00498,ENR00645
326,ENT00447,ENH00499,ENR01034
327,ENT00448,ENH00498,ENR01034
328,ENT00449,ENH00498,ENR00646
329,ENT00450,ENH00498,ENR01033
330,ENT00451,ENH00502,ENR01034
331,ENT00453,ENH00535,ENR00670
332,ENT00454,ENH00231,ENR00670
333,ENT00455,ENH00128,ENR00766
334,ENT00456,ENH00164,ENR00765
335,ENT00457,ENH00128,ENR00765
336,ENT00458,ENH00541,ENR01036
337,ENT00459,ENH00552,ENR01038
338,ENT00460,ENH00357,ENR00643
339,ENT00461,ENH00567,ENR00419
340,ENT00462,ENH00568,ENR01039
341,ENT00463,ENH00566,ENR01040
342,ENT00464,ENH00568,ENR01040
343,ENT00465,ENH00564,ENR01041
344,ENT00466,ENH00363,ENR00681
345,ENT00467,ENH00578,ENR00684
346,ENT00468,ENH00476,ENR00266
347,ENT00470,ENH00560,ENR00667
348,ENT00471,ENH00561,ENR00667
349,ENT00472,ENH00535,ENR01042
350,ENT00473,ENH00561,ENR01042
351,ENT00474,ENH00560,ENR01042
352,ENT00475,ENH00535,ENR01044
353,ENT00476,ENH00580,ENR01047
354,ENT00477,ENH00580,ENR01048
355,ENT00478,ENH00581,ENR01049
356,ENT00479,ENH00226,ENR00650
357,ENT00480,ENH00584,ENR01006
358,ENT00481,ENH00584,ENR00661
