,Endo_id,name,cytomer,sec_hormones,receptors,large_struct,substruct
400,ENC00599,internal ear,cy0049748,[],['ENR00659'],[],"['ENC00093', 'ENC00280', 'ENC00284', 'ENC00423', 'ENC00472', 'ENC00029', 'ENC00473', 'ENC00216', 'ENC00283', 'ENC00325', 'ENC00549']"
401,ENC00600,endothelial cell,cy0011455,"['ENH01010', 'ENH00766', 'ENH00435', 'ENH01150', 'ENH00628']","['ENR00061', 'ENR01090', 'ENR01152', 'ENR00678']","['ENC00020', 'ENC00602', 'ENC00306', 'ENC00022', 'ENC00130', 'ENC00221', 'ENC00074', 'ENC00198', 'ENC00171', 'ENC00011', 'ENC00260', 'ENC00246', 'ENC00055', 'ENC00207', 'ENC00578', 'ENC00102', 'ENC00391', 'ENC00127', 'ENC00323', 'ENC00584', 'ENC00027', 'ENC00018', 'ENC00122', 'ENC00302', 'ENC00112', 'ENC00601', 'ENC00365', 'ENC00009', 'ENC00088', 'ENC00315', 'ENC00076']",[]
402,ENC00601,parts of human body,cy0052028,[],['ENR01337'],[],"['ENC00157', 'ENC00002', 'ENC00053', 'ENC00097', 'ENC00074', 'ENC00213', 'ENC00171', 'ENC00284', 'ENC00246', 'ENC00578', 'ENC00545', 'ENC00102', 'ENC00267', 'ENC00474', 'ENC00423', 'ENC00281', 'ENC00345', 'ENC00037', 'ENC00134', 'ENC00549', 'ENC00278', 'ENC00600', 'ENC00424', 'ENC00003', 'ENC00167', 'ENC00076', 'ENC00234', 'ENC00233', 'ENC00490', 'ENC00137', 'ENC00539', 'ENC00013', 'ENC00178', 'ENC00349', 'ENC00022', 'ENC00217', 'ENC00570', 'ENC00060', 'ENC00259', 'ENC00322', 'ENC00326', 'ENC00468', 'ENC00245', 'ENC00382', 'ENC00479', 'ENC00268', 'ENC00444', 'ENC00344', 'ENC00176', 'ENC00283', 'ENC00457', 'ENC00181', 'ENC00004', 'ENC00583', 'ENC00257', 'ENC00413', 'ENC00027', 'ENC00540', 'ENC00271', 'ENC00143', 'ENC00589', 'ENC00144', 'ENC00521', 'ENC00292', 'ENC00411', 'ENC00201', 'ENC00115', 'ENC00009', 'ENC00360', 'ENC00325', 'ENC00386', 'ENC00550', 'ENC00189', 'ENC00014', 'ENC00221', 'ENC00294', 'ENC00050', 'ENC00154', 'ENC00273', 'ENC00580', 'ENC00261', 'ENC00125', 'ENC00487', 'ENC00425', 'ENC00276', 'ENC00216', 'ENC00066', 'ENC00132', 'ENC00450', 'ENC00303', 'ENC00067', 'ENC00476', 'ENC00557', 'ENC00408', 'ENC00112', 'ENC00302', 'ENC00417', 'ENC00574', 'ENC00415', 'ENC00088', 'ENC00316', 'ENC00460', 'ENC00452', 'ENC00536', 'ENC00007', 'ENC00313', 'ENC00357', 'ENC00247', 'ENC00435', 'ENC00555', 'ENC00063', 'ENC00591', 'ENC00311', 'ENC00379', 'ENC00127', 'ENC00380', 'ENC00265', 'ENC00592', 'ENC00040', 'ENC00289', 'ENC00145', 'ENC00365', 'ENC00465', 'ENC00418', 'ENC00174', 'ENC00416', 'ENC00244', 'ENC00459', 'ENC00251', 'ENC00552', 'ENC00035', 'ENC00287', 'ENC00218', 'ENC00249', 'ENC00404', 'ENC00308', 'ENC00429', 'ENC00011', 'ENC00320', 'ENC00182', 'ENC00309', 'ENC00055', 'ENC00473', 'ENC00062', 'ENC00391', 'ENC00472', 'ENC00528', 'ENC00262', 'ENC00403', 'ENC00405', 'ENC00018', 'ENC00288', 'ENC00420', 'ENC00342', 'ENC00312', 'ENC00210', 'ENC00177', 'ENC00280', 'ENC00421', 'ENC00544', 'ENC00306', 'ENC00454', 'ENC00023', 'ENC00128', 'ENC00093', 'ENC00314', 'ENC00183', 'ENC00220', 'ENC00407', 'ENC00556', 'ENC00041', 'ENC00140', 'ENC00553', 'ENC00152', 'ENC00361', 'ENC00044', 'ENC00211', 'ENC00001', 'ENC00086', 'ENC00538', 'ENC00184', 'ENC00163', 'ENC00020', 'ENC00212', 'ENC00507', 'ENC00602', 'ENC00427', 'ENC00579', 'ENC00228', 'ENC00307', 'ENC00025', 'ENC00274', 'ENC00179', 'ENC00439', 'ENC00168', 'ENC00469', 'ENC00191', 'ENC00258', 'ENC00122', 'ENC00290', 'ENC00248', 'ENC00219', 'ENC00493', 'ENC00364', 'ENC00414', 'ENC00255', 'ENC00315', 'ENC00214', 'ENC00253', 'ENC00449', 'ENC00096', 'ENC00130', 'ENC00180', 'ENC00604', 'ENC00504', 'ENC00260', 'ENC00207', 'ENC00031', 'ENC00585', 'ENC00169', 'ENC00419', 'ENC00597', 'ENC00043', 'ENC00266', 'ENC00437', 'ENC00396', 'ENC00519', 'ENC00026', 'ENC00082', 'ENC00293', 'ENC00453', 'ENC00161', 'ENC00582', 'ENC00563']"
403,ENC00603,pericardium,cy0045177,"['ENH00299', 'ENH00652', 'ENH00655']",[],"['ENC00302', 'ENC00602', 'ENC00601']","['ENC00216', 'ENC00283']"
404,ENC00604,choroid plexus of telencephalon,cy0019083,[],['ENR01349'],"['ENC00020', 'ENC00027']",[]
405,ENC00605,collecting duct of renal tubules,cy0019852,['ENH01071'],[],['ENC00601'],[]
406,ENC00005,adipose tissue,cy0010718,"['ENH00807', 'ENH00160', 'ENH00203', 'ENH00207', 'ENH00232', 'ENH00242', 'ENH00200', 'ENH00217', 'ENH00233', 'ENH00165', 'ENH00218', 'ENH00809', 'ENH00212', 'ENH00225', 'ENH00230', 'ENH00231', 'ENH00235', 'ENH00237', 'ENH00238', 'ENH00239', 'ENH00240', 'ENH00241', 'ENH00256', 'ENH00658', 'ENH00410', 'ENH00082', 'ENH00416', 'ENH00417', 'ENH00437', 'ENH00031', 'ENH00185', 'ENH00438', 'ENH00100', 'ENH00127', 'ENH00395', 'ENH00504', 'ENH00585', 'ENH00080', 'ENH00681', 'ENH00201', 'ENH00896', 'ENH00453', 'ENH00613', 'ENH00338']","['ENR00228', 'ENR00901', 'ENR00118', 'ENR00979', 'ENR00693', 'ENR00808', 'ENR00777', 'ENR00435', 'ENR01018', 'ENR00807', 'ENR00761', 'ENR00764', 'ENR00763', 'ENR00806', 'ENR00985', 'ENR01205', 'ENR00717', 'ENR00679', 'ENR00755', 'ENR00759', 'ENR00122', 'ENR01003']",[],[]
407,ENC00038,follicular epithelium of thyroid gland,cy0027470,['ENH00123'],[],['ENC00145'],[]
408,ENC00048,heart,cy0048127,"['ENH00197', 'ENH00073', 'ENH00250', 'ENH00249', 'ENH00882', 'ENH00321', 'ENH00333', 'ENH00361', 'ENH00366', 'ENH00387', 'ENH00393', 'ENH00397', 'ENH00463', 'ENH00840', 'ENH00499', 'ENH00499', 'ENH00500', 'ENH00504', 'ENH00505', 'ENH00506', 'ENH00507', 'ENH00521', 'ENH00522', 'ENH00527', 'ENH00552', 'ENH00560', 'ENH00561', 'ENH00568', 'ENH00570', 'ENH00573', 'ENH00576', 'ENH00578', 'ENH00580', 'ENH00585', 'ENH00582', 'ENH00636', 'ENH00669', 'ENH00763', 'ENH00868', 'ENH00889', 'ENH00915', 'ENH00938', 'ENH00980', 'ENH01093', 'ENH00514', 'ENH00227', 'ENH00098']","['ENR01041', 'ENR00228', 'ENR00935', 'ENR00987', 'ENR00691', 'ENR00991', 'ENR00762', 'ENR00118', 'ENR00998', 'ENR00693', 'ENR00808', 'ENR00777', 'ENR00979', 'ENR01025', 'ENR01029', 'ENR01032', 'ENR00519', 'ENR00712', 'ENR00670', 'ENR01038', 'ENR01051', 'ENR01052', 'ENR00669', 'ENR01061', 'ENR01062', 'ENR00741', 'ENR00753', 'ENR00696', 'ENR00619', 'ENR00839', 'ENR00901', 'ENR00005', 'ENR01211', 'ENR00941', 'ENR00965', 'ENR00825', 'ENR01248', 'ENR01247', 'ENR00114', 'ENR01294', 'ENR00263', 'ENR00757', 'ENR00756', 'ENR01265', 'ENR01323', 'ENR01326', 'ENR01321', 'ENR01324', 'ENR01325', 'ENR00755', 'ENR00759', 'ENR00796', 'ENR00663']","['ENC00302', 'ENC00601']","['ENC00600', 'ENC00152', 'ENC00421', 'ENC00260', 'ENC00259', 'ENC00086', 'ENC00216', 'ENC00274', 'ENC00283']"
409,ENC00059,mucosa of small intestine,cy0000837,"['ENH00277', 'ENH00288', 'ENH00939']","['ENR00780', 'ENR00781']","['ENC00601', 'ENC00365']","['ENC00152', 'ENC00450', 'ENC00288', 'ENC00420', 'ENC00216', 'ENC00294']"
