,Endo_id,receptor,cell,phenotype,activity
0,ENQ00001,ENR00941,ENC00009,ENP00034,normal receptor activity
1,ENQ00002,ENR00985,ENC00005,ENP00060,normal receptor activity
2,ENQ00003,ENR00741,ENC00020,ENP00019,normal receptor activity
3,ENQ00004,ENR00741,ENC00020,ENP00011,normal receptor activity
4,ENQ00005,ENR00741,ENC00020,ENP00018,normal receptor activity
5,ENQ00006,ENR00941,ENC00027,ENP00035,normal receptor activity
6,ENQ00007,ENR00957,ENC00102,ENP00077,normal receptor activity
7,ENQ00008,ENR00788,ENC00044,ENP00021,normal receptor activity
8,ENQ00009,ENR00664,ENC00093,ENP00022,normal receptor activity
9,ENQ00010,ENR00669,ENC00150,ENP00012,normal receptor activity
10,ENQ00011,ENR00941,ENC00078,ENP00036,normal receptor activity
11,ENQ00012,ENR00669,ENC00231,ENP00013,normal receptor activity
12,ENQ00013,ENR00865,ENC00002,ENP00005,normal receptor activity
13,ENQ00014,ENR00669,ENC00150,ENP00014,normal receptor activity
14,ENQ00015,ENR00865,ENC00002,ENP00037,normal receptor activity
15,ENQ00016,ENR00669,ENC00231,ENP00015,normal receptor activity
16,ENQ00017,ENR00669,ENC00231,ENP00016,normal receptor activity
17,ENQ00018,ENR00669,ENC00231,ENP00017,normal receptor activity
18,ENQ00019,ENR00780,ENC00102,ENP00061,normal receptor activity
19,ENQ00020,ENR00865,ENC00002,ENP00038,normal receptor activity
20,ENQ00021,ENR00664,ENC00093,ENP00057,no receptor activity
21,ENQ00022,ENR00865,ENC00002,ENP00039,normal receptor activity
22,ENQ00023,ENR00936,ENC00189,ENP00002,normal receptor activity
23,ENQ00024,ENR00756,ENC00150,ENP00040,normal receptor activity
24,ENQ00025,ENR00756,ENC00152,ENP00041,normal receptor activity
25,ENQ00026,ENR00789,ENC00044,ENP00004,normal receptor activity
26,ENQ00027,ENR00756,ENC00152,ENP00042,normal receptor activity
27,ENQ00028,ENR00923,ENC00132,ENP00025,normal receptor activity
28,ENQ00029,ENR00923,ENC00035,ENP00026,normal receptor activity
29,ENQ00030,ENR00923,ENC00027,ENP00027,normal receptor activity
30,ENQ00031,ENR00816,ENC00550,ENP00062,normal receptor activity
31,ENQ00032,ENR00922,ENC00550,ENP00062,normal receptor activity
32,ENQ00033,ENR00085,ENC00097,ENP00004,normal receptor activity
33,ENQ00034,ENR00085,ENC00097,ENP00031,normal receptor activity
34,ENQ00035,ENR00085,ENC00097,ENP00032,normal receptor activity
35,ENQ00036,ENR00816,ENC00550,ENP00011,normal receptor activity
36,ENQ00037,ENR00756,ENC00152,ENP00043,normal receptor activity
37,ENQ00038,ENR00922,ENC00550,ENP00011,normal receptor activity
38,ENQ00039,ENR00816,ENC00053,ENP00074,normal receptor activity
39,ENQ00040,ENR00228,ENC00249,ENP00046,normal receptor activity
40,ENQ00041,ENR00228,ENC00249,ENP00047,normal receptor activity
41,ENQ00042,ENR00228,ENC00249,ENP00048,normal receptor activity
42,ENQ00043,ENR00985,ENC00360,ENP00049,normal receptor activity
43,ENQ00044,ENR00985,ENC00360,ENP00018,normal receptor activity
44,ENQ00045,ENR00816,ENC00579,ENP00067,normal receptor activity
45,ENQ00046,ENR00985,ENC00360,ENP00051,normal receptor activity
46,ENQ00047,ENR00985,ENC00360,ENP00052,normal receptor activity
47,ENQ00048,ENR00985,ENC00360,ENP00053,normal receptor activity
48,ENQ00049,ENR00085,ENC00097,ENP00033,normal receptor activity
49,ENQ00050,ENR00923,ENC00027,ENP00029,normal receptor activity
50,ENQ00051,ENR00923,ENC00027,ENP00058,normal receptor activity
51,ENQ00052,ENR00985,ENC00360,ENP00055,no receptor activity
52,ENQ00053,ENR00985,ENC00405,ENP00056,normal receptor activity
53,ENQ00054,ENR00808,ENC00097,ENP00020,normal receptor activity
54,ENQ00055,ENR00923,ENC00020,ENP00058,normal receptor activity
55,ENQ00056,ENR00985,ENC00127,ENP00058,normal receptor activity
56,ENQ00057,ENR00985,ENC00127,ENP00059,normal receptor activity
57,ENQ00058,ENR00904,ENC00360,ENP00070,normal receptor activity
58,ENQ00059,ENR00957,ENC00184,ENP00078,normal receptor activity
59,ENQ00060,ENR01188,ENC00145,ENP00072,normal receptor activity
60,ENQ00061,ENR01188,ENC00145,ENP00073,normal receptor activity
61,ENQ00062,ENR01188,ENC00145,ENP00074,normal receptor activity
62,ENQ00063,ENR01188,ENC00145,ENP00075,normal receptor activity
63,ENQ00064,ENR00808,ENC00097,ENP00084,normal receptor activity
64,ENQ00065,ENR00957,ENC00405,ENP00076,normal receptor activity
65,ENQ00066,ENR00762,ENC00189,ENP00091,normal receptor activity
66,ENQ00067,ENR00808,ENC00097,ENP00087,normal receptor activity
67,ENQ00068,ENR00957,ENC00102,ENP00078,normal receptor activity
68,ENQ00069,ENR00808,ENC00302,ENP00080,normal receptor activity
69,ENQ00070,ENR00808,ENC00063,ENP00082,normal receptor activity
70,ENQ00071,ENR00763,ENC00189,ENP00091,normal receptor activity
71,ENQ00072,ENR00781,ENC00200,ENP00193,normal receptor activity
72,ENQ00073,ENR00808,ENC00302,ENP00041,normal receptor activity
73,ENQ00074,ENR00808,ENC00302,ENP00084,normal receptor activity
74,ENQ00075,ENR00808,ENC00302,ENP00088,normal receptor activity
75,ENQ00076,ENR00760,ENC00082,ENP00093,normal receptor activity
76,ENQ00077,ENR00764,ENC00212,ENP00094,normal receptor activity
77,ENQ00078,ENR00808,ENC00063,ENP00089,unknown receptor activity
78,ENQ00079,ENR00808,ENC00063,ENP00090,normal receptor activity
79,ENQ00080,ENR00837,ENC00424,ENP00099,normal receptor activity
80,ENQ00081,ENR00760,ENC00082,ENP00095,normal receptor activity
81,ENQ00082,ENR00760,ENC00283,ENP00096,normal receptor activity
82,ENQ00084,ENR00717,ENC00249,ENP00037,normal receptor activity
83,ENQ00085,ENR00679,ENC00249,ENP00037,normal receptor activity
84,ENQ00086,ENR00679,ENC00249,ENP00102,normal receptor activity
85,ENQ00087,ENR00837,ENC00424,ENP00097,normal receptor activity
86,ENQ00088,ENR00679,ENC00249,ENP00104,normal receptor activity
87,ENQ00089,ENR00717,ENC00249,ENP00104,normal receptor activity
88,ENQ00090,ENR01047,ENC00020,ENP00106,normal receptor activity
89,ENQ00091,ENR01069,ENC00231,ENP00107,normal receptor activity
90,ENQ00092,ENR00274,ENC00233,ENP00108,no receptor activity
91,ENQ00093,ENR01047,ENC00050,ENP00106,normal receptor activity
92,ENQ00094,ENR00717,ENC00249,ENP00102,normal receptor activity
93,ENQ00095,ENR01069,ENC00244,ENP00107,normal receptor activity
94,ENQ00097,ENR01069,ENC00244,ENP00112,normal receptor activity
95,ENQ00098,ENR00263,ENC00076,ENP00223,normal receptor activity
96,ENQ00099,ENR00979,ENC00005,ENP00455,normal receptor activity
97,ENQ00100,ENR00717,ENC00005,ENP00455,normal receptor activity
98,ENQ00101,ENR00274,ENC00216,ENP00114,normal receptor activity
99,ENQ00102,ENR00274,ENC00233,ENP00113,no receptor activity
100,ENQ00103,ENR00999,ENC00063,ENP00116,normal receptor activity
101,ENQ00104,ENR00263,ENC00076,ENP00225,normal receptor activity
102,ENQ00105,ENR00664,ENC00063,ENP00116,normal receptor activity
103,ENQ00106,ENR00263,ENC00076,ENP00224,normal receptor activity
104,ENQ00107,ENR00979,ENC00102,ENP00158,less than normal receptor activity
105,ENQ00108,ENR00717,ENC00005,ENP00155,normal receptor activity
106,ENQ00109,ENR00759,ENC00145,ENP00239,normal receptor activity
107,ENQ00110,ENR00979,ENC00005,ENP00155,normal receptor activity
108,ENQ00111,ENR00756,ENC00013,ENP00044,more than normal receptor activity
109,ENQ00112,ENR00979,ENC00249,ENP00155,normal receptor activity
110,ENQ00113,ENR00263,ENC00435,ENP00452,less than normal receptor activity
111,ENQ00114,ENR00758,ENC00097,ENP00330,more than normal receptor activity
112,ENQ00115,ENR00664,ENC00382,ENP00118,less than normal receptor activity
113,ENQ00116,ENR00755,ENC00055,ENP00240,less than normal receptor activity
114,ENQ00117,ENR00755,ENC00055,ENP00241,more than normal receptor activity
115,ENQ00119,ENR00263,ENC00063,ENP00180,normal receptor activity
116,ENQ00120,ENR00263,ENC00063,ENP00181,normal receptor activity
117,ENQ00121,ENR00263,ENC00435,ENP00182,normal receptor activity
118,ENQ00122,ENR00263,ENC00365,ENP00180,normal receptor activity
119,ENQ00123,ENR00263,ENC00112,ENP00180,normal receptor activity
120,ENQ00124,ENR00756,ENC00097,ENP00330,more than normal receptor activity
121,ENQ00125,ENR00757,ENC00228,ENP00242,normal receptor activity
122,ENQ00126,ENR00755,ENC00233,ENP00228,normal receptor activity
123,ENQ00127,ENR00755,ENC00287,ENP00228,normal receptor activity
124,ENQ00128,ENR00755,ENC00055,ENP00228,normal receptor activity
125,ENQ00130,ENR01320,ENC00292,ENP00247,normal receptor activity
126,ENQ00132,ENR00755,ENC00055,ENP00249,normal receptor activity
127,ENQ00133,ENR00755,ENC00276,ENP00228,normal receptor activity
128,ENQ00134,ENR00755,ENC00231,ENP00012,normal receptor activity
129,ENQ00135,ENR00755,ENC00231,ENP00252,normal receptor activity
130,ENQ00136,ENR00756,ENC00152,ENP00317,normal receptor activity
131,ENQ00137,ENR00757,ENC00287,ENP00282,normal receptor activity
132,ENQ00139,ENR00758,ENC00276,ENP00286,normal receptor activity
133,ENQ00140,ENR00756,ENC00020,ENP00285,normal receptor activity
134,ENQ00141,ENR00759,ENC00287,ENP00282,normal receptor activity
135,ENQ00143,ENR00756,ENC00472,ENP00262,normal receptor activity
136,ENQ00144,ENR00756,ENC00472,ENP00302,normal receptor activity
137,ENQ00145,ENR00756,ENC00419,ENP00303,normal receptor activity
138,ENQ00146,ENR00758,ENC00419,ENP00303,normal receptor activity
139,ENQ00147,ENR00756,ENC00419,ENP00306,normal receptor activity
140,ENQ00148,ENR00756,ENC00419,ENP00305,normal receptor activity
141,ENQ00149,ENR00758,ENC00419,ENP00307,normal receptor activity
142,ENQ00150,ENR00758,ENC00419,ENP00307,more than normal receptor activity
143,ENQ00151,ENR00756,ENC00419,ENP00307,more than normal receptor activity
144,ENQ00152,ENR00756,ENC00027,ENP00310,no receptor activity
145,ENQ00153,ENR00756,ENC00088,ENP00009,normal receptor activity
146,ENQ00154,ENR00756,ENC00150,ENP00312,normal receptor activity
147,ENQ00155,ENR00756,ENC00150,ENP00262,normal receptor activity
148,ENQ00156,ENR00756,ENC00412,ENP00314,normal receptor activity
149,ENQ00157,ENR00758,ENC00365,ENP00332,more than normal receptor activity
150,ENQ00158,ENR00756,ENC00283,ENP00318,normal receptor activity
151,ENQ00159,ENR00756,ENC00365,ENP00332,more than normal receptor activity
152,ENQ00160,ENR00758,ENC00287,ENP00321,normal receptor activity
153,ENQ00161,ENR00758,ENC00287,ENP00320,normal receptor activity
154,ENQ00162,ENR00756,ENC00287,ENP00321,normal receptor activity
155,ENQ00163,ENR00756,ENC00287,ENP00322,normal receptor activity
156,ENQ00164,ENR00756,ENC00287,ENP00324,normal receptor activity
157,ENQ00166,ENR00756,ENC00287,ENP00323,normal receptor activity
158,ENQ00167,ENR01265,ENC00246,ENP00235,normal receptor activity
159,ENQ00168,ENR00756,ENC00074,ENP00333,more than normal receptor activity
160,ENQ00169,ENR00756,ENC00542,ENP00337,normal receptor activity
161,ENQ00170,ENR00756,ENC00063,ENP00473,more than normal receptor activity
162,ENQ00171,ENR00756,ENC00542,ENP00335,normal receptor activity
163,ENQ00172,ENR00756,ENC00542,ENP00336,normal receptor activity
164,ENQ00173,ENR00756,ENC00542,ENP00338,normal receptor activity
165,ENQ00174,ENR01265,ENC00360,ENP00340,more than normal receptor activity
166,ENQ00175,ENR00756,ENC00360,ENP00339,more than normal receptor activity
167,ENQ00176,ENR00758,ENC00360,ENP00339,more than normal receptor activity
168,ENQ00177,ENR01320,ENC00411,ENP00342,normal receptor activity
169,ENQ00178,ENR01324,ENC00020,ENP00376,normal receptor activity
170,ENQ00179,ENR01325,ENC00222,ENP00107,normal receptor activity
171,ENQ00180,ENR01325,ENC00152,ENP00107,normal receptor activity
172,ENQ00181,ENR01325,ENC00231,ENP00107,normal receptor activity
173,ENQ00182,ENR00808,ENC00007,ENP00389,normal receptor activity
174,ENQ00184,ENR00808,ENC00063,ENP00391,normal receptor activity
175,ENQ00185,ENR00808,ENC00063,ENP00390,normal receptor activity
176,ENQ00186,ENR01318,ENC00231,ENP00120,normal receptor activity
177,ENQ00187,ENR00965,ENC00582,ENP00142,less than normal receptor activity
178,ENQ00188,ENR00670,ENC00020,ENP00106,normal receptor activity
179,ENQ00189,ENR00941,ENC00025,ENP00143,less than normal receptor activity
180,ENQ00190,ENR00670,ENC00207,ENP00122,normal receptor activity
181,ENQ00191,ENR00670,ENC00048,ENP00122,normal receptor activity
182,ENQ00192,ENR00670,ENC00063,ENP00124,normal receptor activity
183,ENQ00193,ENR00670,ENC00474,ENP00125,normal receptor activity
184,ENQ00194,ENR00670,ENC00474,ENP00127,normal receptor activity
185,ENQ00195,ENR00670,ENC00474,ENP00122,no receptor activity
186,ENQ00196,ENR00670,ENC00063,ENP00129,no receptor activity
187,ENQ00197,ENR00263,ENC00125,ENP00188,normal receptor activity
188,ENQ00198,ENR00670,ENC00474,ENP00130,no receptor activity
189,ENQ00200,ENR00670,ENC00474,ENP00102,more than normal receptor activity
190,ENQ00201,ENR00263,ENC00210,ENP00189,normal receptor activity
191,ENQ00202,ENR00670,ENC00207,ENP00133,more than normal receptor activity
192,ENQ00203,ENR00768,ENC00189,ENP00002,normal receptor activity
193,ENQ00204,ENR00767,ENC00189,ENP00002,normal receptor activity
194,ENQ00205,ENR00766,ENC00189,ENP00002,normal receptor activity
195,ENQ00206,ENR00670,ENC00063,ENP00134,normal receptor activity
196,ENQ00207,ENR00670,ENC00063,ENP00132,more than normal receptor activity
197,ENQ00208,ENR01041,ENC00020,ENP00135,no receptor activity
198,ENQ00209,ENR00824,ENC00189,ENP00002,normal receptor activity
199,ENQ00211,ENR00765,ENC00189,ENP00002,normal receptor activity
200,ENQ00212,ENR00263,ENC00273,ENP00191,normal receptor activity
201,ENQ00213,ENR00263,ENC00365,ENP00192,normal receptor activity
202,ENQ00214,ENR01327,ENC00020,ENP00380,more than normal receptor activity
203,ENQ00215,ENR00263,ENC00152,ENP00193,normal receptor activity
204,ENQ00216,ENR00755,ENC00150,ENP00364,normal receptor activity
205,ENQ00217,ENR00263,ENC00115,ENP00196,normal receptor activity
206,ENQ00218,ENR00734,ENC00556,ENP00009,normal receptor activity
207,ENQ00219,ENR01323,ENC00130,ENP00343,normal receptor activity
208,ENQ00220,ENR00263,ENC00284,ENP00197,normal receptor activity
209,ENQ00223,ENR01323,ENC00306,ENP00343,normal receptor activity
210,ENQ00224,ENR01323,ENC00276,ENP00343,normal receptor activity
211,ENQ00225,ENR01322,ENC00020,ENP00290,normal receptor activity
212,ENQ00226,ENR00936,ENC00361,ENP00002,normal receptor activity
213,ENQ00227,ENR01319,ENC00228,ENP00228,normal receptor activity
214,ENQ00228,ENR01319,ENC00228,ENP00254,normal receptor activity
215,ENQ00229,ENR00757,ENC00228,ENP00255,normal receptor activity
216,ENQ00230,ENR00918,ENC00306,ENP00256,normal receptor activity
217,ENQ00231,ENR00757,ENC00228,ENP00257,normal receptor activity
218,ENQ00232,ENR00755,ENC00078,ENP00259,no receptor activity
219,ENQ00233,ENR00759,ENC00078,ENP00258,no receptor activity
220,ENQ00234,ENR00755,ENC00216,ENP00261,normal receptor activity
221,ENQ00235,ENR00759,ENC00216,ENP00261,normal receptor activity
222,ENQ00236,ENR00755,ENC00287,ENP00262,more than normal receptor activity
223,ENQ00237,ENR00755,ENC00276,ENP00263,less than normal receptor activity
224,ENQ00238,ENR00755,ENC00287,ENP00264,normal receptor activity
225,ENQ00239,ENR01319,ENC00287,ENP00266,normal receptor activity
226,ENQ00240,ENR01319,ENC00287,ENP00267,normal receptor activity
227,ENQ00241,ENR00755,ENC00287,ENP00265,normal receptor activity
228,ENQ00242,ENR00756,ENC00575,ENP00291,normal receptor activity
229,ENQ00243,ENR00755,ENC00287,ENP00268,normal receptor activity
230,ENQ00244,ENR00755,ENC00287,ENP00269,normal receptor activity
231,ENQ00248,ENR00759,ENC00360,ENP00274,normal receptor activity
232,ENQ00249,ENR00758,ENC00575,ENP00291,normal receptor activity
233,ENQ00250,ENR00756,ENC00093,ENP00276,normal receptor activity
234,ENQ00251,ENR00759,ENC00093,ENP00275,normal receptor activity
235,ENQ00253,ENR00758,ENC00031,ENP00349,normal receptor activity
236,ENQ00254,ENR00755,ENC00150,ENP00015,normal receptor activity
237,ENQ00255,ENR00757,ENC00150,ENP00015,normal receptor activity
238,ENQ00256,ENR00755,ENC00150,ENP00352,normal receptor activity
239,ENQ00257,ENR00757,ENC00150,ENP00352,normal receptor activity
240,ENQ00258,ENR00755,ENC00152,ENP00354,more than normal receptor activity
241,ENQ00259,ENR00756,ENC00152,ENP00193,more than normal receptor activity
242,ENQ00260,ENR00755,ENC00152,ENP00558,normal receptor activity
243,ENQ00261,ENR00756,ENC00150,ENP00038,normal receptor activity
244,ENQ00262,ENR01265,ENC00150,ENP00038,normal receptor activity
245,ENQ00265,ENR00757,ENC00150,ENP00361,normal receptor activity
246,ENQ00266,ENR00755,ENC00150,ENP00361,normal receptor activity
247,ENQ00267,ENR00755,ENC00150,ENP00312,normal receptor activity
248,ENQ00268,ENR01319,ENC00287,ENP00247,normal receptor activity
249,ENQ00269,ENR00755,ENC00287,ENP00247,normal receptor activity
250,ENQ00270,ENR01327,ENC00013,ENP00382,normal receptor activity
251,ENQ00271,ENR01327,ENC00472,ENP00384,more than normal receptor activity
252,ENQ00272,ENR01327,ENC00216,ENP00380,more than normal receptor activity
253,ENQ00273,ENR01327,ENC00020,ENP00381,more than normal receptor activity
254,ENQ00274,ENR01327,ENC00578,ENP00383,normal receptor activity
255,ENQ00275,ENR01327,ENC00287,ENP00387,normal receptor activity
256,ENQ00276,ENR01327,ENC00287,ENP00388,normal receptor activity
257,ENQ00277,ENR00808,ENC00020,ENP00390,normal receptor activity
258,ENQ00278,ENR00263,ENC00020,ENP00214,more than normal receptor activity
259,ENQ00279,ENR00941,ENC00025,ENP00141,less than normal receptor activity
260,ENQ00280,ENR00717,ENC00005,ENP00149,more than normal receptor activity
261,ENQ00281,ENR00263,ENC00074,ENP00198,normal receptor activity
262,ENQ00282,ENR00979,ENC00005,ENP00144,normal receptor activity
263,ENQ00283,ENR00717,ENC00005,ENP00144,normal receptor activity
264,ENQ00284,ENR00263,ENC00074,ENP00199,normal receptor activity
265,ENQ00285,ENR00263,ENC00542,ENP00200,normal receptor activity
266,ENQ00286,ENR01265,ENC00097,ENP00330,more than normal receptor activity
267,ENQ00287,ENR00263,ENC00020,ENP00218,more than normal receptor activity
268,ENQ00288,ENR00263,ENC00140,ENP00201,normal receptor activity
269,ENQ00289,ENR00263,ENC00097,ENP00201,normal receptor activity
270,ENQ00290,ENR01323,ENC00287,ENP00367,less than normal receptor activity
271,ENQ00291,ENR00263,ENC00361,ENP00203,normal receptor activity
272,ENQ00292,ENR00263,ENC00020,ENP00204,normal receptor activity
273,ENQ00293,ENR00717,ENC00005,ENP00151,more than normal receptor activity
274,ENQ00294,ENR00979,ENC00005,ENP00151,more than normal receptor activity
275,ENQ00295,ENR00965,ENC00582,ENP00138,less than normal receptor activity
276,ENQ00296,ENR00263,ENC00074,ENP00205,normal receptor activity
277,ENQ00298,ENR00741,ENC00020,ENP00009,normal receptor activity
278,ENQ00299,ENR00763,ENC00025,ENP00091,normal receptor activity
279,ENQ00300,ENR00762,ENC00025,ENP00091,normal receptor activity
280,ENQ00301,ENR00763,ENC00025,ENP00169,normal receptor activity
281,ENQ00302,ENR00762,ENC00025,ENP00170,normal receptor activity
282,ENQ00303,ENR00979,ENC00189,ENP00174,normal receptor activity
283,ENQ00304,ENR00704,ENC00189,ENP00174,normal receptor activity
284,ENQ00305,ENR01323,ENC00228,ENP00369,normal receptor activity
285,ENQ00306,ENR00905,ENC00189,ENP00174,normal receptor activity
286,ENQ00307,ENR00741,ENC00020,ENP00010,normal receptor activity
287,ENQ00308,ENR00780,ENC00361,ENP00091,normal receptor activity
288,ENQ00309,ENR00936,ENC00189,ENP00060,normal receptor activity
289,ENQ00310,ENR00962,ENC00189,ENP00174,normal receptor activity
290,ENQ00311,ENR00781,ENC00361,ENP00091,normal receptor activity
291,ENQ00312,ENR00824,ENC00189,ENP00091,normal receptor activity
292,ENQ00313,ENR00263,ENC00102,ENP00210,normal receptor activity
293,ENQ00314,ENR00962,ENC00189,ENP00002,normal receptor activity
294,ENQ00315,ENR00263,ENC00007,ENP00211,normal receptor activity
295,ENQ00316,ENR00263,ENC00125,ENP00211,normal receptor activity
296,ENQ00317,ENR00788,ENC00044,ENP00020,normal receptor activity
297,ENQ00318,ENR00263,ENC00020,ENP00216,normal receptor activity
298,ENQ00319,ENR00263,ENC00246,ENP00233,normal receptor activity
299,ENQ00320,ENR00263,ENC00246,ENP00234,normal receptor activity
300,ENQ00321,ENR00664,ENC00093,ENP00023,normal receptor activity
301,ENQ00322,ENR00263,ENC00361,ENP00198,normal receptor activity
302,ENQ00323,ENR00263,ENC00020,ENP00220,more than normal receptor activity
303,ENQ00324,ENR00263,ENC00020,ENP00219,more than normal receptor activity
304,ENQ00325,ENR00263,ENC00020,ENP00215,normal receptor activity
305,ENQ00326,ENR00263,ENC00246,ENP00235,normal receptor activity
306,ENQ00327,ENR00263,ENC00249,ENP00209,normal receptor activity
307,ENQ00328,ENR00263,ENC00020,ENP00208,normal receptor activity
308,ENQ00329,ENR00263,ENC00578,ENP00207,normal receptor activity
309,ENQ00330,ENR00263,ENC00578,ENP00206,normal receptor activity
310,ENQ00331,ENR00758,ENC00284,ENP00294,normal receptor activity
311,ENQ00332,ENR00263,ENC00076,ENP00222,normal receptor activity
312,ENQ00333,ENR00263,ENC00020,ENP00213,more than normal receptor activity
313,ENQ00334,ENR00263,ENC00067,ENP00236,normal receptor activity
314,ENQ00335,ENR00755,ENC00231,ENP00556,normal receptor activity
315,ENQ00336,ENR01319,ENC00276,ENP00228,normal receptor activity
316,ENQ00337,ENR01320,ENC00020,ENP00230,normal receptor activity
317,ENQ00338,ENR01320,ENC00020,ENP00229,normal receptor activity
318,ENQ00340,ENR00263,ENC00119,ENP00238,normal receptor activity
319,ENQ00341,ENR00756,ENC00020,ENP00278,more than normal receptor activity
320,ENQ00342,ENR00756,ENC00423,ENP00296,normal receptor activity
321,ENQ00343,ENR00756,ENC00423,ENP00297,normal receptor activity
322,ENQ00344,ENR00755,ENC00231,ENP00016,normal receptor activity
323,ENQ00345,ENR00756,ENC00020,ENP00074,more than normal receptor activity
324,ENQ00346,ENR00755,ENC00412,ENP00277,normal receptor activity
325,ENQ00347,ENR00756,ENC00360,ENP00197,normal receptor activity
326,ENQ00348,ENR00756,ENC00050,ENP00290,normal receptor activity
327,ENQ00349,ENR00756,ENC00020,ENP00291,normal receptor activity
328,ENQ00350,ENR00756,ENC00423,ENP00298,normal receptor activity
329,ENQ00351,ENR00756,ENC00020,ENP00292,normal receptor activity
330,ENQ00352,ENR00756,ENC00284,ENP00229,normal receptor activity
331,ENQ00353,ENR00756,ENC00423,ENP00299,normal receptor activity
332,ENQ00354,ENR01265,ENC00423,ENP00300,more than normal receptor activity
333,ENQ00355,ENR00756,ENC00423,ENP00295,normal receptor activity
334,ENQ00356,ENR01323,ENC00287,ENP00368,normal receptor activity
335,ENQ00357,ENR01323,ENC00216,ENP00369,normal receptor activity
336,ENQ00358,ENR01323,ENC00276,ENP00371,normal receptor activity
337,ENQ00359,ENR01323,ENC00287,ENP00373,normal receptor activity
338,ENQ00360,ENR01323,ENC00216,ENP00044,normal receptor activity
339,ENQ00361,ENR01325,ENC00216,ENP00044,normal receptor activity
340,ENQ00362,ENR01327,ENC00423,ENP00380,more than normal receptor activity
341,ENQ00363,ENR01027,ENC00011,ENP00394,normal receptor activity
342,ENQ00364,ENR01025,ENC00011,ENP00395,normal receptor activity
343,ENQ00365,ENR01025,ENC00007,ENP00398,normal receptor activity
344,ENQ00366,ENR01025,ENC00011,ENP00396,normal receptor activity
345,ENQ00367,ENR01025,ENC00007,ENP00397,normal receptor activity
346,ENQ00368,ENR01025,ENC00007,ENP00399,normal receptor activity
347,ENQ00369,ENR01328,ENC00027,ENP00424,normal receptor activity
348,ENQ00370,ENR01026,ENC00007,ENP00400,no receptor activity
349,ENQ00371,ENR00808,ENC00168,ENP00401,normal receptor activity
350,ENQ00372,ENR00664,ENC00382,ENP00117,less than normal receptor activity
351,ENQ00373,ENR00664,ENC00382,ENP00119,less than normal receptor activity
352,ENQ00374,ENR00664,ENC00093,ENP00024,no receptor activity
353,ENQ00375,ENR00717,ENC00018,ENP00044,more than normal receptor activity
354,ENQ00376,ENR01265,ENC00013,ENP00044,more than normal receptor activity
355,ENQ00377,ENR00985,ENC00360,ENP00054,more than normal receptor activity
356,ENQ00378,ENR01188,ENC00145,ENP00071,no receptor activity
357,ENQ00379,ENR00670,ENC00063,ENP00126,more than normal receptor activity
358,ENQ00380,ENR00717,ENC00005,ENP00136,more than normal receptor activity
359,ENQ00384,ENR00941,ENC00025,ENP00139,less than normal receptor activity
360,ENQ00385,ENR00965,ENC00582,ENP00140,less than normal receptor activity
361,ENQ00386,ENR00979,ENC00005,ENP00148,more than normal receptor activity
362,ENQ00387,ENR00873,ENC00053,ENP00186,no receptor activity
363,ENQ00388,ENR00263,ENC00020,ENP00217,more than normal receptor activity
364,ENQ00389,ENR01320,ENC00276,ENP00231,more than normal receptor activity
365,ENQ00390,ENR00758,ENC00097,ENP00330,more than normal receptor activity
366,ENQ00391,ENR01265,ENC00097,ENP00330,more than normal receptor activity
367,ENQ00392,ENR01296,ENC00210,ENP00288,no receptor activity
368,ENQ00393,ENR00263,ENC00115,ENP00402,normal receptor activity
369,ENQ00394,ENR00263,ENC00437,ENP00410,normal receptor activity
370,ENQ00395,ENR00263,ENC00437,ENP00405,normal receptor activity
371,ENQ00398,ENR00263,ENC00115,ENP00405,normal receptor activity
372,ENQ00399,ENR00263,ENC00115,ENP00407,normal receptor activity
373,ENQ00400,ENR00263,ENC00115,ENP00300,normal receptor activity
374,ENQ00401,ENR00263,ENC00115,ENP00409,normal receptor activity
375,ENQ00402,ENR00263,ENC00115,ENP00410,normal receptor activity
376,ENQ00403,ENR00263,ENC00115,ENP00411,normal receptor activity
377,ENQ00404,ENR01328,ENC00287,ENP00412,normal receptor activity
378,ENQ00405,ENR00263,ENC00276,ENP00426,normal receptor activity
379,ENQ00406,ENR01328,ENC00397,ENP00413,less than normal receptor activity
380,ENQ00407,ENR01328,ENC00287,ENP00022,normal receptor activity
381,ENQ00408,ENR01328,ENC00053,ENP00415,normal receptor activity
382,ENQ00409,ENR01328,ENC00053,ENP00397,normal receptor activity
383,ENQ00411,ENR01328,ENC00053,ENP00418,normal receptor activity
384,ENQ00412,ENR00744,ENC00144,ENP00254,normal receptor activity
385,ENQ00413,ENR00663,ENC00578,ENP00420,normal receptor activity
386,ENQ00414,ENR00704,ENC00578,ENP00420,normal receptor activity
387,ENQ00415,ENR00905,ENC00578,ENP00420,normal receptor activity
388,ENQ00416,ENR01328,ENC00027,ENP00216,normal receptor activity
389,ENQ00417,ENR00263,ENC00276,ENP00427,normal receptor activity
390,ENQ00418,ENR00263,ENC00276,ENP00428,normal receptor activity
391,ENQ00419,ENR00263,ENC00276,ENP00429,normal receptor activity
392,ENQ00420,ENR00263,ENC00276,ENP00430,normal receptor activity
393,ENQ00421,ENR00263,ENC00276,ENP00431,normal receptor activity
394,ENQ00422,ENR00263,ENC00276,ENP00019,normal receptor activity
395,ENQ00423,ENR00263,ENC00287,ENP00019,normal receptor activity
