,Endo_id,receptor,cell,phenotype,activity
637,ENQ00679,ENR01188,ENC00102,ENP00072,normal receptor activity
638,ENQ00680,ENR01188,ENC00102,ENP00670,normal receptor activity
639,ENQ00681,ENR01188,ENC00247,ENP00671,normal receptor activity
640,ENQ00682,ENR01188,ENC00360,ENP00672,normal receptor activity
641,ENQ00683,ENR01188,ENC00360,ENP00303,normal receptor activity
642,ENQ00684,ENR01188,ENC00184,ENP00673,normal receptor activity
643,ENQ00685,ENR01221,ENC00472,ENP00674,less than normal receptor activity
644,ENQ00686,ENR01221,ENC00284,ENP00674,less than normal receptor activity
645,ENQ00687,ENR01221,ENC00549,ENP00675,normal receptor activity
646,ENQ00688,ENR01222,ENC00284,ENP00675,normal receptor activity
647,ENQ00689,ENR01222,ENC00284,ENP00676,less than normal receptor activity
648,ENQ00690,ENR00704,ENC00044,ENP00677,normal receptor activity
649,ENQ00691,ENR01070,ENC00207,ENP00013,normal receptor activity
650,ENQ00692,ENR00905,ENC00044,ENP00677,normal receptor activity
651,ENQ00693,ENR00808,ENC00044,ENP00013,more than normal receptor activity
652,ENQ00694,ENR00755,ENC00152,ENP00312,normal receptor activity
653,ENQ00695,ENR00802,ENC00266,ENP00706,normal receptor activity
654,ENQ00696,ENR00803,ENC00266,ENP00706,normal receptor activity
655,ENQ00697,ENR00808,ENC00005,ENP00200,normal receptor activity
656,ENQ00698,ENR00808,ENC00005,ENP00405,normal receptor activity
657,ENQ00699,ENR00802,ENC00268,ENP00707,normal receptor activity
658,ENQ00700,ENR00803,ENC00268,ENP00707,normal receptor activity
659,ENQ00701,ENR00801,ENC00264,ENP00707,normal receptor activity
660,ENQ00702,ENR00802,ENC00265,ENP00707,normal receptor activity
661,ENQ00703,ENR00803,ENC00265,ENP00707,normal receptor activity
662,ENQ00704,ENR00804,ENC00265,ENP00707,normal receptor activity
663,ENQ00705,ENR00799,ENC00265,ENP00707,normal receptor activity
664,ENQ00706,ENR00800,ENC00265,ENP00707,normal receptor activity
665,ENQ00707,ENR00799,ENC00267,ENP00708,normal receptor activity
666,ENQ00708,ENR00800,ENC00269,ENP00708,normal receptor activity
667,ENQ00709,ENR01190,ENC00217,ENP00705,normal receptor activity
668,ENQ00710,ENR01190,ENC00247,ENP00705,normal receptor activity
669,ENQ00711,ENR01190,ENC00287,ENP00705,normal receptor activity
670,ENQ00712,ENR00777,ENC00048,ENP00005,normal receptor activity
671,ENQ00713,ENR00805,ENC00086,ENP00709,normal receptor activity
672,ENQ00714,ENR00806,ENC00086,ENP00709,normal receptor activity
673,ENQ00715,ENR00805,ENC00078,ENP00608,normal receptor activity
674,ENQ00716,ENR00806,ENC00078,ENP00608,normal receptor activity
675,ENQ00717,ENR00663,ENC00212,ENP00710,normal receptor activity
676,ENQ00718,ENR00704,ENC00212,ENP00710,more than normal receptor activity
677,ENQ00719,ENR00905,ENC00212,ENP00710,more than normal receptor activity
